date,field,location,organizer,presenter,time,title
"Tuesday,  7 July 2015",S.W.E.A.T.,"Max Gluskin House, room 106",Michel Serafinelli,Jeff  Chan (University of Toronto),13:10-14:00,Any Port in a Storm: Import Competition and Match Quality Downgrading
"Wednesday,  8 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Junichi  Suzuki (University of Toronto)   Cancelled,12:00-13:00,TBA
"Tuesday, 14 July 2015",S.W.E.A.T.,(joint with Diego Escobar and Jose Tessada),"Gluskin House, room 106",Jeanne  Lafortune (PUC-Chile),13:00-14:00,"Men, women and capital: Estimating substitution patterns using a size and gender-dependent childcare policy in Chile"
"Wednesday, 15 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Natalie  Bau (University of Toronto),12:00-13:00,TBA
"Wednesday, 22 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Tanjim  Hossain (University of Toronto),12:00-13:00,TBA
"Thursday, 23 July 2015",S.W.E.A.T.,(joint with Jessie Handbury),"Gluskin House, room 106","Victor  Couture (University of California, Berkeley (Haas))",13:00-14:00,"Urban Revival in America, 2000-2010"
"Tuesday, 28 July 2015",S.W.E.A.T.,"Max Gluskin House, room 106",Laura Turner,Tammy  Schirle (Wilfred Laurier University),13:10-14:00,Gender and Canadian Labour Market Transitions
"Wednesday, 29 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Joanne  Oxley (University of Toronto),12:00-13:00,TBA
"Wednesday, 29 July 2015",Public economics,"Max Gluskin House, room 106",Robert McMillan,Peter  Bergman (Teachers College Columbia University),13:00-14:00,Parent-Child Information Frictions and Human Capital Investment: Evidence from a Field Experiment
"Tuesday,  4 August 2015",S.W.E.A.T.,(joint with Byoung Hoon Seok and Jingchao Li),"Gluskin House, room 106",Hye Mi You (SUNY Buffalo),13:10-14:10,"Migration Restrictions: Implications on Human Capital, Output, and Welfare"
"Wednesday,  5 August 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Andrew  Ching (University of Toronto),12:00-13:00,TBA
"Wednesday, 12 August 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Jonathan  Hall (University of Toronto),12:00-13:00,TBA
"Tuesday, 18 August 2015",S.W.E.A.T.,(joint with Pamela Campa),"Gluskin House, room 106",Michel  Serafinelli (University of Toronto),13:00-14:00,Politico-economic Regimes and Attitudes: Female Workers under State-socialism
"Wednesday, 26 August 2015",Industrial organization,"Max Gluskin House, room 106","Avi Goldfarb, Yao Luo, and Junichi Suzuki",Aloysius  Siow (University of Toronto),12:00-13:00,"Preliminary ideas on ""Reliability in the labor market"""
"Wednesday, 26 August 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,April  Franco (University of Toronto)   Cancelled,12:00-13:00,TBA
"Wednesday,  2 September 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Mitch  Hoffman (University of Toronto),12:00-13:00,TBA
"Tuesday, 15 September 2015",CEPA brown bag,"Max Gluskin House, room 106",Arthur Blouin and Gustavo Bobonis,Jose  Tessada (Pontificia Universidad Católica de Chile),1:10- 2:00,Are microfirms constrained by their lack of knowledge or motivation? Lessons from a randomized experiment in Chile
